# author: Brandon Watanabe, Sept 2024,,,,,
# averaged over 5 runs,,,,,,
Problem Size (N),Basic (ms),Blocked B=2 (ms),Blocked B=16 (ms),Blocked B=32 (ms),Blocked B=64 (ms),BLAS (ms)
64,163.4,0.660199,0.1698,0.1804,0.2002,0.012
128,2.7374,5.2352,1.3798,1.4528,1.6126,0.1294
256,36.074,41.9206,11.0542,11.263,2.617,0.8936
512,505.177,332.4098,85.9074,94.457,101.5918,5.4446
1024,5237.654,2664.1442,706.608,731.206,815.4214,41.8716
2048,62412.8144,21521.1082,6248.0578,6008.772,6571.8074,329.6694
